"","FECHA","VALOR"
"155","	2015-11-01",88.685467876675
"156","	2015-12-01",89.046817717411
"157","	2016-01-01",89.386381393113
"158","	2016-02-01",89.777781116654
"159","	2016-03-01",89.910000600998
"160","	2016-04-01",89.625277961416
"161","	2016-05-01",89.225614520103
"162","	2016-06-01",89.324027886291
"163","	2016-07-01",89.556914478034
"164","	2016-08-01",89.809333493599
"165","	2016-09-01",90.357743854799
"166","	2016-10-01",90.906154215999
"167","	2016-11-01",91.616833944348
"168","	2016-12-01",92.039034797764
"169","	2017-01-01",93.603882444858
"170","	2017-02-01",94.144780335357
"171","	2017-03-01",94.722489332292
"172","	2017-04-01",94.838932628163
"173","	2017-05-01",94.725494320572
"174","	2017-06-01",94.963639641805
"175","	2017-07-01",95.322735741331
"176","	2017-08-01",95.793767654306
"177","	2017-09-01",96.093515235291
"178","	2017-10-01",96.69826912675
"179","	2017-11-01",97.695173988821
"180","	2017-12-01",98.272882985756
"181","	2018-01-01",98.794999699501
"182","	2018-02-01",99.17137448164
"183","	2018-03-01",99.492156980588
"184","	2018-04-01",99.154847046097
"185","	2018-05-01",98.994080173087
"186","	2018-06-01",99.376464931787
"187","	2018-07-01",99.909099104514
"188","	2018-08-01",100.492
"189","	2018-09-01",100.917
