COBERTURA,PERIODICIDAD,FECHA,CONCEPTO,VALOR,UNIDAD_MEDIDA,ESTATUS
Nacional,Mensual,	2005-06-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",58.771783471666,Índice,Cifras definitivas
Nacional,Mensual,	2005-07-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",59.001799883395,Índice,Cifras definitivas
Nacional,Mensual,	2005-08-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",59.072255360862,Índice,Cifras definitivas
Nacional,Mensual,	2005-09-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",59.309006487348,Índice,Cifras definitivas
Nacional,Mensual,	2005-10-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",59.454579937114,Índice,Cifras definitivas
Nacional,Mensual,	2005-11-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",59.882493351727,Índice,Cifras definitivas
Nacional,Mensual,	2005-12-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",60.250312388501,Índice,Cifras definitivas
Nacional,Mensual,	2006-01-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",60.603625885796,Índice,Cifras definitivas
Nacional,Mensual,	2006-02-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",60.696357727462,Índice,Cifras definitivas
Nacional,Mensual,	2006-03-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",60.772511809723,Índice,Cifras definitivas
Nacional,Mensual,	2006-04-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",60.861617266519,Índice,Cifras definitivas
Nacional,Mensual,	2006-05-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",60.590674511262,Índice,Cifras definitivas
Nacional,Mensual,	2006-06-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",60.64299806438,Índice,Cifras definitivas
Nacional,Mensual,	2006-07-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",60.809293713401,Índice,Cifras definitivas
Nacional,Mensual,	2006-08-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",61.119608647242,Índice,Cifras definitivas
Nacional,Mensual,	2006-09-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",61.736612130056,Índice,Cifras definitivas
Nacional,Mensual,	2006-10-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",62.006518775351,Índice,Cifras definitivas
Nacional,Mensual,	2006-11-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",62.331857303652,Índice,Cifras definitivas
Nacional,Mensual,	2006-12-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",62.692423570686,Índice,Cifras definitivas
Nacional,Mensual,	2007-01-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",63.016207934044,Índice,Cifras definitivas
Nacional,Mensual,	2007-02-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",63.19234662771,Índice,Cifras definitivas
Nacional,Mensual,	2007-03-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",63.329113142793,Índice,Cifras definitivas
Nacional,Mensual,	2007-04-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",63.291295129152,Índice,Cifras definitivas
Nacional,Mensual,	2007-05-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",62.982534360255,Índice,Cifras definitivas
Nacional,Mensual,	2007-06-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",63.058170387535,Índice,Cifras definitivas
Nacional,Mensual,	2007-07-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",63.326004812904,Índice,Cifras definitivas
Nacional,Mensual,	2007-08-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",63.583996193627,Índice,Cifras definitivas
Nacional,Mensual,	2007-09-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",64.077702590875,Índice,Cifras definitivas
Nacional,Mensual,	2007-10-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",64.327405091896,Índice,Cifras definitivas
Nacional,Mensual,	2007-11-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",64.781221255577,Índice,Cifras definitivas
Nacional,Mensual,	2007-12-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",65.049055680946,Índice,Cifras definitivas
Nacional,Mensual,	2008-01-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",65.350563680104,Índice,Cifras definitivas
Nacional,Mensual,	2008-02-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",65.544834298119,Índice,Cifras definitivas
Nacional,Mensual,	2008-03-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",66.019890716036,Índice,Cifras definitivas
Nacional,Mensual,	2008-04-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",66.170126660634,Índice,Cifras definitivas
Nacional,Mensual,	2008-05-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",66.098635073205,Índice,Cifras definitivas
Nacional,Mensual,	2008-06-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",66.372168103369,Índice,Cifras definitivas
Nacional,Mensual,	2008-07-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",66.742059360068,Índice,Cifras definitivas
Nacional,Mensual,	2008-08-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",67.127492266209,Índice,Cifras definitivas
Nacional,Mensual,	2008-09-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",67.58493481476,Índice,Cifras definitivas
Nacional,Mensual,	2008-10-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",68.0454856932,Índice,Cifras definitivas
Nacional,Mensual,	2008-11-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",68.818941780387,Índice,Cifras definitivas
Nacional,Mensual,	2008-12-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",69.295552363249,Índice,Cifras definitivas
Nacional,Mensual,	2009-01-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",69.456149407474,Índice,Cifras definitivas
Nacional,Mensual,	2009-02-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",69.60949368196,Índice,Cifras definitivas
Nacional,Mensual,	2009-03-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",70.009950182561,Índice,Cifras definitivas
Nacional,Mensual,	2009-04-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",70.254990188749,Índice,Cifras definitivas
Nacional,Mensual,	2009-05-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",70.050358471108,Índice,Cifras definitivas
Nacional,Mensual,	2009-06-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",70.179354161469,Índice,Cifras definitivas
Nacional,Mensual,	2009-07-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",70.370516449595,Índice,Cifras definitivas
Nacional,Mensual,	2009-08-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",70.538884318541,Índice,Cifras definitivas
Nacional,Mensual,	2009-09-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",70.892715870818,Índice,Cifras definitivas
Nacional,Mensual,	2009-10-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",71.107190633106,Índice,Cifras definitivas
Nacional,Mensual,	2009-11-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",71.476045779843,Índice,Cifras definitivas
Nacional,Mensual,	2009-12-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",71.771855174205,Índice,Cifras definitivas
Nacional,Mensual,	2010-01-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",72.552045976151,Índice,Cifras definitivas
Nacional,Mensual,	2010-02-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",72.971670511062,Índice,Cifras definitivas
Nacional,Mensual,	2010-03-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",73.489725492434,Índice,Cifras definitivas
Nacional,Mensual,	2010-04-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",73.255564640854,Índice,Cifras definitivas
Nacional,Mensual,	2010-05-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",72.793977652452,Índice,Cifras definitivas
Nacional,Mensual,	2010-06-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",72.771183233271,Índice,Cifras definitivas
Nacional,Mensual,	2010-07-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",72.92919000259,Índice,Cifras definitivas
Nacional,Mensual,	2010-08-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",73.131749500306,Índice,Cifras definitivas
Nacional,Mensual,	2010-09-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",73.515110186521,Índice,Cifras definitivas
Nacional,Mensual,	2010-10-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",73.968926350203,Índice,Cifras definitivas
Nacional,Mensual,	2010-11-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",74.561581248892,Índice,Cifras definitivas
Nacional,Mensual,	2010-12-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",74.93095445061,Índice,Cifras definitivas
Nacional,Mensual,	2011-01-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",75.295991345634,Índice,Cifras definitivas
Nacional,Mensual,	2011-02-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",75.578460244005,Índice,Cifras definitivas
Nacional,Mensual,	2011-03-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",75.723450928541,Índice,Cifras definitivas
Nacional,Mensual,	2011-04-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",75.71744095198,Índice,Cifras definitivas
Nacional,Mensual,	2011-05-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",75.159264378869,Índice,Cifras definitivas
Nacional,Mensual,	2011-06-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",75.155508143518,Índice,Cifras definitivas
Nacional,Mensual,	2011-07-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",75.516106737184,Índice,Cifras definitivas
Nacional,Mensual,	2011-08-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",75.635555021335,Índice,Cifras definitivas
Nacional,Mensual,	2011-09-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",75.821113047659,Índice,Cifras definitivas
Nacional,Mensual,	2011-10-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",76.332712302422,Índice,Cifras definitivas
Nacional,Mensual,	2011-11-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",77.158332832502,Índice,Cifras definitivas
Nacional,Mensual,	2011-12-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",77.792385359697,Índice,Cifras definitivas
Nacional,Mensual,	2012-01-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",78.343049462107,Índice,Cifras definitivas
Nacional,Mensual,	2012-02-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",78.502313840976,Índice,Cifras definitivas
Nacional,Mensual,	2012-03-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",78.547388665184,Índice,Cifras definitivas
Nacional,Mensual,	2012-04-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",78.300979626179,Índice,Cifras definitivas
Nacional,Mensual,	2012-05-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",78.053819340105,Índice,Cifras definitivas
Nacional,Mensual,	2012-06-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",78.4136666867,Índice,Cifras definitivas
Nacional,Mensual,	2012-07-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",78.8538974698,Índice,Cifras definitivas
